campaign_id,title,description,brand_name,category,platform,budget,duration_days,target_age_group,target_gender,min_followers,min_engagement,deliverables,status,brand_reputation,created_at
IN_CMP_00001,OnePlus - Education & Skills Campaign,Promote OnePlus products to 18-34 audience,OnePlus,Education & Skills,Facebook,26722.75,30,18-34,Male,31120,4.3,Reel,completed,3.79,2025-10-06T00:00:00
IN_CMP_00002,Tata - Fashion & Lifestyle Campaign,Promote Tata products to 35-44 audience,Tata,Fashion & Lifestyle,LinkedIn,50049.19,60,35-44,Male,49807,3.5,"Video,Live Session,Post",active,3.96,2025-10-08T00:00:00
IN_CMP_00003,Flipkart - Travel & Tourism Campaign,Promote Flipkart products to 18-34 audience,Flipkart,Travel & Tourism,Instagram,5749.88,30,18-34,All,19189,4.5,Post,draft,3.85,2025-05-26T00:00:00
IN_CMP_00004,Nestle India - Sports & Cricket Campaign,Promote Nestle India products to 18-34 audience,Nestle India,Sports & Cricket,Instagram,9468.21,14,18-34,All,18435,2.6,"Review,Post,Live Session",active,3.7,2025-10-09T00:00:00
IN_CMP_00005,Reliance - Finance & Investment Campaign,Promote Reliance products to 18-24 audience,Reliance,Finance & Investment,YouTube,24654.58,21,18-24,All,12744,2.9,"Live Session,Story",active,3.8,2025-09-01T00:00:00
IN_CMP_00006,PhonePe - Sports & Cricket Campaign,Promote PhonePe products to 18-34 audience,PhonePe,Sports & Cricket,Facebook,5665.84,14,18-34,All,10052,4.2,"Review,Video",completed,3.05,2025-08-15T00:00:00
IN_CMP_00007,Noise - Food & Cooking Campaign,Promote Noise products to 35-44 audience,Noise,Food & Cooking,Twitter,99027.04,7,35-44,Male,85177,4.0,Video,completed,3.33,2025-09-29T00:00:00
IN_CMP_00008,Noise - Sports & Cricket Campaign,Promote Noise products to 18-24 audience,Noise,Sports & Cricket,Instagram,51512.88,14,18-24,All,30944,3.4,"Review,Video,Reel,Story",draft,3.07,2025-10-19T00:00:00
IN_CMP_00009,Zomato - Health & Fitness Campaign,Promote Zomato products to 35-44 audience,Zomato,Health & Fitness,Twitter,9992.02,60,35-44,All,12050,2.6,Review,draft,4.74,2025-09-13T00:00:00
IN_CMP_00010,Dream11 - Food & Cooking Campaign,Promote Dream11 products to 18-34 audience,Dream11,Food & Cooking,Twitter,5360.93,21,18-34,Female,8795,2.0,"Story,Video",active,4.32,2025-06-30T00:00:00
IN_CMP_00011,Flipkart - Devotional & Spirituality Campaign,Promote Flipkart products to 18-34 audience,Flipkart,Devotional & Spirituality,YouTube,21050.73,30,18-34,All,24717,3.5,"Story,Review,Live Session",draft,3.17,2025-07-14T00:00:00
IN_CMP_00012,Realme - Gaming Campaign,Promote Realme products to 35-44 audience,Realme,Gaming,Facebook,21166.58,7,35-44,All,9701,4.9,Review,active,4.48,2025-07-17T00:00:00
IN_CMP_00013,Realme - Health & Fitness Campaign,Promote Realme products to 18-34 audience,Realme,Health & Fitness,Facebook,16244.87,14,18-34,All,8982,3.4,"Story,Live Session,Post",draft,4.22,2025-10-29T00:00:00
IN_CMP_00014,Asian Paints - Health & Fitness Campaign,Promote Asian Paints products to 18-34 audience,Asian Paints,Health & Fitness,LinkedIn,20212.52,14,18-34,Female,20287,2.7,"Reel,Post",completed,3.94,2025-07-06T00:00:00
IN_CMP_00015,Myntra - Travel & Tourism Campaign,Promote Myntra products to 25-34 audience,Myntra,Travel & Tourism,Instagram,7889.77,14,25-34,All,21488,3.5,"Story,Review,Post",active,3.17,2025-07-01T00:00:00
IN_CMP_00016,PhonePe - Education & Skills Campaign,Promote PhonePe products to 18-24 audience,PhonePe,Education & Skills,LinkedIn,11084.21,7,18-24,All,19434,3.3,Story,active,2.92,2025-07-05T00:00:00
IN_CMP_00017,Tata - News & Current Affairs Campaign,Promote Tata products to 18-34 audience,Tata,News & Current Affairs,Instagram,27690.16,7,18-34,All,39277,5.9,"Live Session,Story,Video",active,3.23,2025-07-28T00:00:00
IN_CMP_00018,Noise - Health & Fitness Campaign,Promote Noise products to 25-34 audience,Noise,Health & Fitness,Facebook,9470.9,30,25-34,Female,6167,4.3,Post,completed,3.78,2025-05-22T00:00:00
IN_CMP_00019,Xiaomi - Finance & Investment Campaign,Promote Xiaomi products to 18-24 audience,Xiaomi,Finance & Investment,Instagram,12056.17,14,18-24,All,6980,2.3,"Story,Review,Reel",draft,4.05,2025-09-22T00:00:00
IN_CMP_00020,Tata - Education & Skills Campaign,Promote Tata products to 35-44 audience,Tata,Education & Skills,LinkedIn,26849.27,21,35-44,Male,65614,5.5,Review,active,4.53,2025-07-23T00:00:00
IN_CMP_00021,Swiggy - News & Current Affairs Campaign,Promote Swiggy products to 18-24 audience,Swiggy,News & Current Affairs,Twitter,8760.46,60,18-24,All,23871,2.8,Reel,completed,4.3,2025-09-04T00:00:00
IN_CMP_00022,HUL - Technology & Gadgets Campaign,Promote HUL products to 18-34 audience,HUL,Technology & Gadgets,Instagram,6126.64,21,18-34,Female,7837,4.1,"Review,Story",active,3.78,2025-08-28T00:00:00
IN_CMP_00023,Byju's - Travel & Tourism Campaign,Promote Byju's products to 18-24 audience,Byju's,Travel & Tourism,LinkedIn,20851.86,14,18-24,Male,22661,4.9,"Review,Video",active,4.41,2025-06-04T00:00:00
IN_CMP_00024,Byju's - News & Current Affairs Campaign,Promote Byju's products to 35-44 audience,Byju's,News & Current Affairs,Facebook,8823.62,14,35-44,All,10384,4.7,"Story,Post,Review",active,3.89,2025-06-03T00:00:00
IN_CMP_00025,OnePlus - Travel & Tourism Campaign,Promote OnePlus products to 18-24 audience,OnePlus,Travel & Tourism,Instagram,28889.45,7,18-24,All,84582,3.5,"Post,Live Session",active,4.36,2025-07-11T00:00:00
IN_CMP_00026,PhonePe - News & Current Affairs Campaign,Promote PhonePe products to 18-34 audience,PhonePe,News & Current Affairs,Facebook,5634.57,7,18-34,All,7466,4.0,Reel,completed,4.22,2025-09-25T00:00:00
IN_CMP_00027,Asian Paints - Food & Cooking Campaign,Promote Asian Paints products to 25-34 audience,Asian Paints,Food & Cooking,Instagram,31080.54,14,25-34,Female,45527,5.6,Reel,draft,3.65,2025-07-18T00:00:00
IN_CMP_00028,Realme - Beauty & Makeup Campaign,Promote Realme products to 18-34 audience,Realme,Beauty & Makeup,LinkedIn,25012.19,14,18-34,Female,82963,4.6,"Reel,Review,Live Session",active,4.07,2025-08-25T00:00:00
IN_CMP_00029,Amazon India - Health & Fitness Campaign,Promote Amazon India products to 18-24 audience,Amazon India,Health & Fitness,Facebook,18685.78,21,18-24,All,16337,4.5,"Reel,Video,Review",completed,1.7,2025-08-05T00:00:00
IN_CMP_00030,Sugar Cosmetics - Beauty & Makeup Campaign,Promote Sugar Cosmetics products to 18-24 audience,Sugar Cosmetics,Beauty & Makeup,YouTube,30339.55,30,18-24,All,36701,5.6,"Story,Review,Post",completed,3.74,2025-11-10T00:00:00
IN_CMP_00031,Byju's - Travel & Tourism Campaign,Promote Byju's products to 25-34 audience,Byju's,Travel & Tourism,Facebook,18356.57,7,25-34,Female,18659,3.9,"Story,Live Session",active,3.75,2025-07-04T00:00:00
IN_CMP_00032,CRED - Finance & Investment Campaign,Promote CRED products to 25-34 audience,CRED,Finance & Investment,LinkedIn,13142.11,30,25-34,All,10745,2.7,"Reel,Live Session,Story",active,4.0,2025-10-30T00:00:00
IN_CMP_00033,OnePlus - Finance & Investment Campaign,Promote OnePlus products to 18-24 audience,OnePlus,Finance & Investment,YouTube,22652.82,14,18-24,All,13386,4.1,Review,draft,4.69,2025-05-24T00:00:00
IN_CMP_00034,Nykaa - Beauty & Makeup Campaign,Promote Nykaa products to 25-34 audience,Nykaa,Beauty & Makeup,Twitter,24277.57,30,25-34,All,19031,4.5,Reel,active,4.25,2025-09-06T00:00:00
IN_CMP_00035,boAt Lifestyle - Regional Content Campaign,Promote boAt Lifestyle products to 18-24 audience,boAt Lifestyle,Regional Content,YouTube,62811.74,21,18-24,All,92421,5.3,"Story,Review,Live Session",completed,3.04,2025-06-07T00:00:00
IN_CMP_00036,Tata - Food & Cooking Campaign,Promote Tata products to 18-24 audience,Tata,Food & Cooking,Twitter,7296.21,30,18-24,All,22954,2.7,"Story,Post,Review",draft,3.82,2025-09-26T00:00:00
IN_CMP_00037,Swiggy - Fashion & Lifestyle Campaign,Promote Swiggy products to 18-24 audience,Swiggy,Fashion & Lifestyle,Facebook,12233.79,45,18-24,Female,6531,4.9,Post,active,3.79,2025-09-02T00:00:00
IN_CMP_00038,Reliance - Finance & Investment Campaign,Promote Reliance products to 18-34 audience,Reliance,Finance & Investment,Facebook,63142.25,14,18-34,All,53544,3.1,Reel,completed,4.22,2025-10-02T00:00:00
IN_CMP_00039,PhonePe - Music & Dance Campaign,Promote PhonePe products to 35-44 audience,PhonePe,Music & Dance,Twitter,12267.91,21,35-44,Female,16928,3.7,"Story,Review,Live Session,Post",active,3.94,2025-11-12T00:00:00
IN_CMP_00040,HUL - Finance & Investment Campaign,Promote HUL products to 18-34 audience,HUL,Finance & Investment,Facebook,30337.54,14,18-34,Female,54688,3.3,"Video,Post",active,4.3,2025-08-31T00:00:00
IN_CMP_00041,OnePlus - Beauty & Makeup Campaign,Promote OnePlus products to 18-34 audience,OnePlus,Beauty & Makeup,Instagram,291646.26,60,18-34,Female,590349,3.3,"Review,Story",active,4.75,2025-08-25T00:00:00
IN_CMP_00042,Noise - Education & Skills Campaign,Promote Noise products to 25-34 audience,Noise,Education & Skills,Facebook,5105.97,14,25-34,All,9407,4.0,"Story,Post",completed,4.8,2025-08-27T00:00:00
IN_CMP_00043,Reliance - Gaming Campaign,Promote Reliance products to 35-44 audience,Reliance,Gaming,Facebook,54847.65,45,35-44,Male,58612,5.4,"Post,Video,Review",completed,3.11,2025-06-24T00:00:00
IN_CMP_00044,PhonePe - News & Current Affairs Campaign,Promote PhonePe products to 18-34 audience,PhonePe,News & Current Affairs,LinkedIn,22263.03,21,18-34,Female,16438,2.4,Live Session,completed,2.62,2025-07-20T00:00:00
IN_CMP_00045,Noise - Fashion & Lifestyle Campaign,Promote Noise products to 18-24 audience,Noise,Fashion & Lifestyle,Twitter,52815.98,21,18-24,Male,73865,3.2,"Post,Story,Reel",completed,3.66,2025-06-23T00:00:00
IN_CMP_00046,boAt Lifestyle - Health & Fitness Campaign,Promote boAt Lifestyle products to 18-34 audience,boAt Lifestyle,Health & Fitness,YouTube,7100.37,7,18-34,All,5732,4.0,"Post,Live Session",completed,4.19,2025-05-18T00:00:00
IN_CMP_00047,PhonePe - Travel & Tourism Campaign,Promote PhonePe products to 25-34 audience,PhonePe,Travel & Tourism,YouTube,27253.37,21,25-34,All,80038,4.5,"Post,Story,Video",draft,3.65,2025-07-08T00:00:00
IN_CMP_00048,Sugar Cosmetics - Devotional & Spirituality Campaign,Promote Sugar Cosmetics products to 35-44 audience,Sugar Cosmetics,Devotional & Spirituality,YouTube,26652.49,45,35-44,Female,59898,4.2,"Post,Video,Review",active,4.22,2025-08-22T00:00:00
IN_CMP_00049,Sugar Cosmetics - Entertainment & Comedy Campaign,Promote Sugar Cosmetics products to 35-44 audience,Sugar Cosmetics,Entertainment & Comedy,Twitter,28616.34,14,35-44,Female,80857,5.9,Video,active,3.84,2025-08-10T00:00:00
IN_CMP_00050,Boat - Travel & Tourism Campaign,Promote Boat products to 18-24 audience,Boat,Travel & Tourism,Instagram,8914.07,14,18-24,Female,11205,4.9,"Review,Video",active,2.95,2025-11-10T00:00:00
IN_CMP_00051,Wow Skin Science - Entertainment & Comedy Campaign,Promote Wow Skin Science products to 25-34 audience,Wow Skin Science,Entertainment & Comedy,Facebook,5453.44,7,25-34,All,13542,4.7,"Video,Review",completed,4.72,2025-08-31T00:00:00
IN_CMP_00052,OnePlus - Food & Cooking Campaign,Promote OnePlus products to 18-34 audience,OnePlus,Food & Cooking,LinkedIn,12732.04,7,18-34,Male,23766,3.7,"Reel,Story,Post",completed,3.41,2025-09-11T00:00:00
IN_CMP_00053,Boat - Music & Dance Campaign,Promote Boat products to 25-34 audience,Boat,Music & Dance,Instagram,90731.64,7,25-34,All,67288,6.0,"Video,Post",completed,3.9,2025-11-08T00:00:00
IN_CMP_00054,Paytm - Beauty & Makeup Campaign,Promote Paytm products to 25-34 audience,Paytm,Beauty & Makeup,YouTube,33852.38,14,25-34,All,68574,5.3,"Review,Post",active,4.52,2025-09-28T00:00:00
IN_CMP_00055,Reliance - Health & Fitness Campaign,Promote Reliance products to 18-34 audience,Reliance,Health & Fitness,Facebook,12504.13,14,18-34,Female,7121,4.9,"Live Session,Review,Post",active,3.29,2025-10-20T00:00:00
IN_CMP_00056,Noise - Finance & Investment Campaign,Promote Noise products to 18-24 audience,Noise,Finance & Investment,YouTube,12905.84,14,18-24,Female,17680,3.2,Video,completed,4.12,2025-10-10T00:00:00
IN_CMP_00057,Noise - Beauty & Makeup Campaign,Promote Noise products to 18-24 audience,Noise,Beauty & Makeup,LinkedIn,52283.85,14,18-24,All,92252,4.0,"Post,Live Session,Reel,Story",draft,4.17,2025-05-22T00:00:00
IN_CMP_00058,Boat - Music & Dance Campaign,Promote Boat products to 18-24 audience,Boat,Music & Dance,LinkedIn,6097.36,14,18-24,All,9972,2.2,Story,draft,2.06,2025-06-29T00:00:00
IN_CMP_00059,OnePlus - Health & Fitness Campaign,Promote OnePlus products to 18-34 audience,OnePlus,Health & Fitness,Facebook,10800.44,30,18-34,Female,19294,4.1,Post,completed,3.87,2025-09-16T00:00:00
IN_CMP_00060,Paytm - Beauty & Makeup Campaign,Promote Paytm products to 18-24 audience,Paytm,Beauty & Makeup,Instagram,14617.71,14,18-24,Female,11830,4.0,"Post,Reel,Video",active,3.99,2025-10-09T00:00:00
IN_CMP_00061,Realme - Food & Cooking Campaign,Promote Realme products to 18-34 audience,Realme,Food & Cooking,Twitter,25622.48,60,18-34,Male,59672,5.4,"Post,Reel",completed,4.28,2025-08-21T00:00:00
IN_CMP_00062,Swiggy - Music & Dance Campaign,Promote Swiggy products to 35-44 audience,Swiggy,Music & Dance,YouTube,11619.93,30,35-44,Female,15520,3.9,"Post,Reel,Live Session,Video",active,4.82,2025-05-29T00:00:00
IN_CMP_00063,HUL - Finance & Investment Campaign,Promote HUL products to 18-34 audience,HUL,Finance & Investment,YouTube,5857.41,21,18-34,All,5504,3.5,"Reel,Post,Video",draft,3.32,2025-07-31T00:00:00
